Ground truths com EX = 0
----------------------------------------
GT053 | Qual a taxa de mortalidade no estado do Rio Grande do Sul em 2021? | EX = 0
GT083 | Quais são os principais CIDs de entrada de cada nacionalidade? | EX = 0
GT086 | Quais são os 10 procedimentos mais comuns nas cidades do MA? | EX = 0
GT088 | Quais são os 5 procedimentos mais realizados para cada sexo? | EX = 0
GT089 | Quais são os 3 diagnósticos principais mais comuns entre pacientes com mais de 60 anos em cada estado (MA e RS)? | EX = 0
GT090 | Qual é a taxa de mortalidade por nível de instrução no estado do RS, considerando apenas grupos com mais de 1000 internações? | EX = 0
GT093 | Quais são os 3 hospitais com maior custo médio de UTI por estado (MA e RS)? | EX = 0
GT097 | Quais são os 5 procedimentos mais realizados em cada estado (MA e RS)? | EX = 0
GT103 | Quais são os 10 diagnósticos com maior média de dias de internação (com mais de 10000 casos)? | EX = 0
GT107 | Em qual ano ocorreu o maior número de mortes em cada estado (MA e RS)? | EX = 0
GT109 | Quantas categorias de raça/cor estão cadastradas? | EX = 0
GT113 | Qual o menor valor de internação registrado? | EX = 0
GT114 | Qual o total gasto em internações de UTI? | EX = 0
GT118 | Qual o valor médio dos serviços profissionais por internação? | EX = 0
GT124 | Qual a distribuição de internações por raça/cor? | EX = 0
