Ground truths com EX = 0
----------------------------------------
GT014 | Quantas internações por meningite ocasionaram em morte? | EX = 0
GT018 | Quantos habitantes tem o município que tem a maior população segundo dados do IBGE? | EX = 0
GT082 | Quais são os 3 diagnósticos principais mais comuns entre pacientes com mais de 60 anos no estado de MS e no estado do RS? | EX = 0
GT086 | Quais são os 3 hospitais com maior custo médio de UTI por estado (MA e RS)? | EX = 0
GT093 | Em qual ano ocorreu o maior número de mortes em cada estado (MA e RS)? | EX = 0
GT114 | Qual a distribuição dos métodos contraceptivos utilizados por pacientes em internações obstétricas, incluindo os casos sem informação? | EX = 0
GT116 | Quais são os 10 diagnósticos com maior crescimento absoluto de internações entre os períodos 2008-2012 e 2019-2023? | EX = 0
GT118 | Quais são os 10 hospitais com mais de 1000 internações que nunca registraram nenhuma internação em UTI? | EX = 0
GT123 | Compare o IDHM médio dos municípios do RS com taxa de mortalidade hospitalar acima e abaixo da média estadual (mínimo de 500 internações). | EX = 0
GT126 | Como se distribuem os hospitais em quartis de volume de internações? Mostre o número de hospitais e o intervalo de internações por quartil. | EX = 0
GT129 | Quais códigos CID aparecem como causa de morte em óbitos registrados mas nunca foram registrados como diagnóstico principal de internação? | EX = 0
GT132 | Quais os 3 hospitais com maior valor médio de serviço hospitalar (VAL_SH) por estado (MA e RS), considerando hospitais com mais de 500 internações? | EX = 0
GT134 | Qual a média de dias de internação por especialidade médica, comparando lado a lado os estados MA e RS? | EX = 0
GT135 | Quais são os 10 municípios do Maranhão com Bolsa Família acima da média estadual e mortalidade infantil abaixo da média estadual? | EX = 0
