Ground truths com EX = 0
----------------------------------------
GT018 | Quantos habitantes tem o município que tem a maior população segundo dados do IBGE? | EX = 0
GT073 | Qual o total de benefício Bolsa Família que o estado do MA e RS recebem? | EX = 0
GT082 | Quais são os 3 diagnósticos principais mais comuns entre pacientes com mais de 60 anos no estado de MS e no estado do RS? | EX = 0
GT086 | Quais são os 3 hospitais com maior custo médio de UTI por estado (MA e RS)? | EX = 0
GT112 | Qual o crescimento percentual anual de internações no estado do RS entre 2008 e 2023? | EX = 0
GT113 | Quais são os 10 municípios do RS com taxa de mortalidade acima da média estadual (considerando apenas municípios com mais de 500 internações)? | EX = 0
GT114 | Qual a distribuição dos métodos contraceptivos utilizados por pacientes em internações obstétricas, incluindo os casos sem informação? | EX = 0
GT115 | Qual o hospital com maior receita total por especialidade médica, considerando apenas hospitais com mais de 500 internações na especialidade? | EX = 0
GT116 | Quais são os 10 diagnósticos com maior crescimento absoluto de internações entre os períodos 2008-2012 e 2019-2023? | EX = 0
GT118 | Quais são os 10 hospitais com mais de 1000 internações que nunca registraram nenhuma internação em UTI? | EX = 0
GT121 | Quais municípios com mais de 500 internações aparecem simultaneamente no top-20 de volume e no top-20 de taxa de mortalidade nos estados MA e RS? | EX = 0
GT123 | Compare o IDHM médio dos municípios do RS com taxa de mortalidade hospitalar acima e abaixo da média estadual (mínimo de 500 internações). | EX = 0
GT127 | Quais são os 10 diagnósticos com maior queda absoluta de internações entre os períodos 2008-2012 e 2019-2023? | EX = 0
GT128 | Quais municípios com mais de 1000 internações têm taxa de internação em UTI mais de duas vezes acima da média nacional? | EX = 0
GT129 | Quais códigos CID aparecem como causa de morte em óbitos registrados mas nunca foram registrados como diagnóstico principal de internação? | EX = 0
GT130 | Quais são os 10 municípios com maior taxa de mortalidade em internações obstétricas, entre aqueles com mais de 200 internações obstétricas e taxa acima da média nacional obstétrica? | EX = 0
GT132 | Quais os 3 hospitais com maior valor médio de serviço hospitalar (VAL_SH) por estado (MA e RS), considerando hospitais com mais de 500 internações? | EX = 0
GT134 | Qual a média de dias de internação por especialidade médica, comparando lado a lado os estados MA e RS? | EX = 0
GT135 | Quais são os 10 municípios do Maranhão com Bolsa Família acima da média estadual e mortalidade infantil abaixo da média estadual? | EX = 0
